DataType,LocationID,Category,SubCategory,Score,Notes
"TechnicalAssessment","Gray Center","functionality","technology","0",""
"TechnicalAssessment","Gray Center","functionality","spaceSize","0",""
"TechnicalAssessment","Gray Center","functionality","telecomm","0",""
"TechnicalAssessment","Gray Center","functionality","fireAlarm","0",""
"TechnicalAssessment","Gray Center","architecture","entrances","0",""
"TechnicalAssessment","Gray Center","architecture","exterior","5",""
"TechnicalAssessment","Gray Center","architecture","interiorFinishes","0",""
"TechnicalAssessment","Gray Center","architecture","codesAndAccessibility","0",""
"TechnicalAssessment","Gray Center","architecture","lifeSafety","0",""
"TechnicalAssessment","Gray Center","engineering","superstructure","0",""
"TechnicalAssessment","Gray Center","engineering","mechanical","0",""
"TechnicalAssessment","Gray Center","engineering","fireProtection","0",""
"TechnicalAssessment","Gray Center","engineering","conveyingSystems","0",""
"TechnicalAssessment","Gray Center","engineering","lighting","0",""
"TechnicalAssessment","Gray Center","engineering","plumbing","0",""
"TechnicalAssessment","Gray Center","engineering","power","0",""

DataType,LocationID,ID,Type,Persona,Latitude,Longitude,Comment,PathCoordinatesJSON
"Marker","Bronco Village Apartments 3","0hJ47BhiKnlBO05rbk7F","I do not feel safe in this space","student","40.59512213957552","-98.36618964147901","",
"Marker","Altman Hall Residency","0inLZ7bXfQU83PTQvZbv","This is a go-to hangout spot for me and my friends","student","40.59240198547508","-98.37193057249304","",
"Marker","","0jE2QhtmDdWywOvLovHb","I rarely or never use this space","student","40.59239737347437","-98.37381020796091","",
"Marker","Hazelrigg Student Union","0juZqki3bspEy7Mtbd6m","This is a go-to hangout spot for me and my friends","student","40.593975855185306","-98.37277546756181","",
"Marker","Calvin H. French Memorial Chapel ","0kspFASScuf29gqJnOLi","I rarely or never use this space","student","40.59168837967195","-98.37338047627021","",
"Marker","Jackson Dinsdale Art Center","0lF2Sh5rfAWEglYF50t8","This is one of my go-to study spots","student","40.59671004190014","-98.3729555792496","",
"Marker","Batchelder General Services","0lJEOcEQkWNZSkMhCaKK","I rarely or never use this space","staff","40.59262078694053","-98.37091916480303","",
"Marker","Calvin H. French Memorial Chapel ","0lN6VPpWs5GMqnBUg9D5","The furniture in this space is uncomfortable or not functional","student","40.591716222044454","-98.37345312721816","",
"Marker","Wilson Center","0lwouDCHqYQzmuynfWR2","I rarely or never use this space","student","40.592839510751986","-98.37352796416569","",
"Marker","Jackson Dinsdale Art Center","0mgqa37y36lIqcVClAD2","I would like to use this space more, but it needs improvement","student","40.59666034826648","-98.37311423163717","",
"Marker","Hayes M. Fuhr Hall of Music","0ng7aEVoe797gLFiEcWS","I rarely or never use this space","student","40.594838864028986","-98.3717739676539","",
"Marker","","0rJOmcqYt8lI2Yl6SiZu","I rarely or never use this space","staff","40.59502056573149","-98.36957570990745","",
"Marker","The 1882 Residence Hall","0rZaVrssfZWkqXd8IEEb","I rarely or never use this space","student","40.593774162040944","-98.37151418889566","",
"Marker","Altman Hall Residency","0t1G9XA2vgWqmChsxHik","This space feels outdated or run-down","student","40.592289230217574","-98.37200100679654","",
"Marker","Hayes M. Fuhr Hall of Music","0uDkUzwk6h4YZ58U8r5E","This space feels outdated or run-down","student","40.59468410294485","-98.37168644984888","As someone who is involved with and knows many people in the music department who loved and frequently used this building, we are struggling to find our space. With how important and active our music department is, a usable music building is necessary.",
"Marker","Morrison-Reeves Science Center","0xwHapgtst9yus08dVTX","Just leave a comment about this space","student","40.5911188931191","-98.3720753660634","A nice building. I only really use it when I have classes in it, but it's a nice place.",
"Marker","Daugherty Student Engagement Center","0yRQ5By8d6UxM3ZTW1kt","I would like to use this space more, but it needs improvement","student","40.5911678557523","-98.37372466504348","I would like to study here more often it seems cozy.",
"Marker","Perkins Library","0yae8MmfD2BBGvP9wHjL","This is one of my go-to study spots","student","40.59024691875652","-98.37432498033098","",
"Marker","Morrison-Reeves Science Center","10Wy5NBK18NYVjSgpiML","This is a go-to hangout spot for me and my friends","student","40.59118536738515","-98.3721053748928","",
"Marker","Hayes M. Fuhr Hall of Music","10lrsVqXhg2ZdAIv0m1E","This space feels outdated or run-down","student","40.594516780810324","-98.3717983951671","",
"Marker","Bronco Village Apartments 6","10oNhxbAKGOFu27OYfT9","This space supports my teaching and/or professional work effectively","staff","40.59400276077767","-98.36564448955001","Wrong building sorry",
"Marker","","114JsQOdWcJrZC1xPsrv","This is a go-to hangout spot for me and my friends","student","40.59221268406239","-98.37429476823816","",
"Marker","Calvin H. French Memorial Chapel ","11kxTyrN4S37BpcTq1io","I rarely or never use this space","student","40.59179113017427","-98.37333673450918","",
"Marker","714 E. 7th St. Residence","12xhies9qSXUYxLgtiMD","I would like to use this space more, but it needs improvement","student","40.589406898202924","-98.37299082665972","",
"Marker","Altman Hall Residency","14N1ThxsC4NWcRQNBXFM","This is a go-to hangout spot for me and my friends","student","40.59233395664046","-98.37195506861745","",
"Marker","McKay House","14aN9HJGkpBz5RFPMDnm","This is a go-to hangout spot for me and my friends","student","40.59378739377502","-98.37506528041145","",
"Marker","","15lyJE4tvDvjE0Ah3toN","I rarely or never use this space","student","40.593309874163936","-98.3746193774506","",
"Marker","The 1882 Residence Hall","16U4SlL0VgWopbNgjDC4","This is a go-to hangout spot for me and my friends","student","40.593720304545116","-98.37111799206623","",
"Marker","","18DrYcaIcqHHU6a7wfyg","This is one of my go-to study spots","student","40.59343443224952","-98.37434765277385","",
"Marker","Jackson Dinsdale Art Center","19JTI5u231UCYE5zORdz","I rarely or never use this space","student","40.59678991255845","-98.37332808231436","",
"Marker","Hazelrigg Student Union","1APKR3fp2WTuZjiBYalC","This is a go-to hangout spot for me and my friends","student","40.593962020283385","-98.37289300914898","I go here to eat and hang out with my friends in the cafeteria.",
"Marker","Bronco Village Apartments 3","1Au0qE7CAt9sIta3TYZI","I rarely or never use this space","student","40.59500514217288","-98.36615817477112","",
"Marker","PFF Garage","1C6Rm9OqfZSbOoy0jqtN","I rarely or never use this space","student","40.59505481724065","-98.37018966762888","",
"Marker","Altman Hall Residency","1CWjo2Ns3df26hoYZ35b","This is one of my go-to study spots","student","40.59235705123564","-98.37192610725032","Dorm",
"Marker","Perkins Library","1DHkJLtZLjghlT7iv8gi","This is one of my go-to study spots","student","40.59026666949973","-98.37433158213463","",
"Marker","Hurley-McDonald Hall","1ERkhmdqZqTqE0AjdO8I","I rarely or never use this space","student","40.59075576653086","-98.37460811819126","",
"Marker","Perkins Library","1EpvGDWoPbPYrEWJJ61g","Just leave a comment about this space","student","40.59023060495011","-98.37423694227269","Very nice building! I like the activities that are held here often even if I don't study in the building as much.",
"Marker","Hazelrigg Student Union","1GBqcahYh1bwqNkzWREO","I rarely or never use this space","student","40.59409026900974","-98.37288424613907","",
"Marker","Perkins Library","1I7uCBXXvuQiyNI3MyYg","This space supports my teaching and/or professional work effectively","staff","40.59026002429516","-98.37452268006612","",
"Marker","Hazelrigg Student Union","1ItVfbhugv6LM6LHa4o6","This is one of my go-to study spots","student","40.594103741929416","-98.37312274704036","",
"Marker","","1JvPBzkOajHkOKHXgnqw","This is a go-to hangout spot for me and my friends","student","40.59495846445023","-98.36570097222963","",
"Marker","Scott Studio Theatre","1KGdPtc43An2QnMYokmT","I rarely or never use this space","student","40.592234656817055","-98.37334006562675","",
"Marker","","1KIIZsSkapI0C9v2zyhy","The lighting or temperature in thei space makes it uncomfortable","student","40.59479686294392","-98.36912260950145","",
"Marker","Kiewit Building","1KkLGycWqgpBfexmSGN1","I rarely or never use this space","student","40.590447746729126","-98.37356984898362","",
"Marker","Calvin H. French Memorial Chapel ","1Kl3egGivI3LsfoVs4Hy","I rarely or never use this space","student","40.59172220076428","-98.37342282484995","",
"Marker","Morrison-Reeves Science Center","1MI7fV8MR5pAvrQTiXO1","This space supports my teaching and/or professional work effectively","staff","40.59108992171306","-98.3720808811468","Love this place. I have taught in here for many years and believe it's the most functional building we have (for academics). Technology is great, different styles of classrooms/labs. 
My only complaint is the HVAC system. Sometimes the building seems to be freezing on the lower level classrooms and then you go upstairs (specifically MR 219) and it's a sauna.",
"Marker","McCormick Hall","1NFiNdxv9K2AKiljodIV","I would like to use this space more, but it needs some improvement","staff","40.59231183769489","-98.373720393151","",
"Marker","Hurley-McDonald Hall","1OexT8oWYJPtuFT6OQhR","I rarely or never use this space","student","40.590755697042255","-98.37455759468855","",
"Marker","812 N Ash Ave","1OgXfmkq3uioOBoMLRp3","I rarely or never use this space","student","40.59217595705658","-98.37125985683343","",
"Marker","Morrison-Reeves Science Center","1P2S7jNS95DAZJDeyyHi","This is one of my go-to study spots","student","40.59105937051092","-98.37203530470777","",
"Marker","Taylor Hall Residence","1QPhJIDO0PywhzUcg0Wa","This space feels outdated or run-down","student","40.592728648612876","-98.3747022817014","",
"Marker","Bronco Village Apartments 5","1RNCSShc4qI8HSnAlNzg","This is one of my go-to study spots","student","40.59442820300271","-98.36518061188093","",
"Marker","Hazelrigg Student Union","1RYg7d9npi4j0ls6tgJS","This is a go-to hangout spot for me and my friends","student","40.594237646097184","-98.37297172759374","",
"Marker","Hazelrigg Student Union","1RmBUUDo6c8AVfzbcgw8","This is one of my go-to study spots","student","40.593930124159215","-98.37281072491604","",
"Marker","Hazelrigg Student Union","1SEC5q7Pe0V1ghc1NhKS","This is one of my go-to study spots","student","40.59393924562613","-98.37296485555396","",
"Marker","919 E 9th St","1UoDSGytKKjCKtcrc2Ak","I rarely or never use this space","student","40.593642341626094","-98.36948079545306","",
"Marker","Wilson Center","1WxxKv01i2e9bLutbGJs","Just leave a comment about this space","student","40.59269507903545","-98.37373599512401","chair comment was meant for mccormick",
